time,user_id,user_name,count,total,grade,fans_club
21:02:16,96596656680,KT脑🎀,10,2028,[等级25],[粉丝团 Lv11]
21:02:16,84655336157,kimi 🌾,3,2028,[等级21],[粉丝团 Lv7]
21:02:16,3254156409968983,别来无恙,9,2028,,
21:02:16,2093067748255504,@？～￥￥￥￥ycfx,14,2028,[等级13],[粉丝团 Lv13]
21:02:16,3109074429031560,洽叽,2,2057,[等级28],[粉丝团 Lv15]
21:02:16,3109074429031560,洽叽,2,2065,[等级28],[粉丝团 Lv15]
21:02:16,3254156409968983,别来无恙,10,2093,,
21:02:16,2093067748255504,@？～￥￥￥￥ycfx,14,2095,[等级13],[粉丝团 Lv13]
21:02:16,1322057323778411,新新.,8,2126,[等级2],
21:02:16,96596656680,KT脑🎀,10,2143,[等级25],[粉丝团 Lv11]
21:02:16,3109074429031560,洽叽,2,2177,[等级28],[粉丝团 Lv15]
21:02:16,2093067748255504,@？～￥￥￥￥ycfx,13,2177,[等级13],[粉丝团 Lv13]
21:02:17,1322057323778411,新新.,9,2215,[等级2],
21:02:17,96596656680,KT脑🎀,10,2238,[等级25],[粉丝团 Lv11]
21:02:17,3254156409968983,别来无恙,10,2314,,
21:02:17,2093067748255504,@？～￥￥￥￥ycfx,13,2314,[等级13],[粉丝团 Lv13]
21:02:17,1322057323778411,新新.,11,2356,[等级2],
21:02:17,96596656680,KT脑🎀,6,2378,[等级25],[粉丝团 Lv11]
21:02:17,3254156409968983,别来无恙,9,2385,,
21:02:17,59266139105,單殺,1,2385,[等级1],
21:02:17,3109074429031560,洽叽,2,2423,[等级28],[粉丝团 Lv15]
21:02:17,1322057323778411,新新.,8,2439,[等级2],
21:02:17,3254156409968983,别来无恙,10,2465,,
21:02:17,2093067748255504,@？～￥￥￥￥ycfx,12,2465,[等级13],[粉丝团 Lv13]
21:02:19,1322057323778411,新新.,9,2520,[等级2],
21:02:19,3109074429031560,洽叽,2,2520,[等级28],[粉丝团 Lv15]
21:02:19,3254156409968983,别来无恙,10,2548,,
21:02:19,2093067748255504,@？～￥￥￥￥ycfx,11,2548,[等级13],[粉丝团 Lv13]
21:02:19,1322057323778411,新新.,6,2591,[等级2],
21:02:19,76909642724,老乔,7,2606,[等级12],[粉丝团 Lv2]
21:02:19,3109074429031560,洽叽,2,2606,[等级28],[粉丝团 Lv15]
21:02:19,3109074429031560,洽叽,2,2608,[等级28],[粉丝团 Lv15]
21:02:19,76909642724,老乔,5,2653,[等级12],[粉丝团 Lv2]
21:02:19,84655336157,kimi 🌾,9,2653,[等级21],[粉丝团 Lv7]
21:02:19,3254156409968983,别来无恙,9,2653,,
21:02:19,75406127231,無情,12,2674,[等级31],[粉丝团 Lv8]
21:02:20,76909642724,老乔,9,2702,[等级12],[粉丝团 Lv2]
21:02:20,84655336157,kimi 🌾,8,2702,[等级21],[粉丝团 Lv7]
21:02:20,3254156409968983,别来无恙,10,2702,,
21:02:20,75406127231,無情,12,2724,[等级31],[粉丝团 Lv8]
21:02:21,73280629950,陌生人、仅此而已,1,2742,[等级17],
21:02:22,76909642724,老乔,8,2762,[等级12],[粉丝团 Lv2]
21:02:22,3254156409968983,别来无恙,9,2762,,
21:02:23,75406127231,無情,12,2784,[等级31],[粉丝团 Lv8]
21:02:23,108173846242,💞楠栀🇨🇳,10,2784,[等级14],
21:02:23,96596656680,KT脑🎀,8,2825,[等级25],[粉丝团 Lv11]
21:02:23,3254156409968983,别来无恙,9,2832,,
21:02:24,4266538190244392,小月。,7,2854,[等级14],[粉丝团 Lv11]
21:02:25,76909642724,老乔,7,2899,[等级12],[粉丝团 Lv2]
21:02:25,96596656680,KT脑🎀,10,2899,[等级25],[粉丝团 Lv11]
21:02:26,3254156409968983,别来无恙,9,2899,,
21:02:26,4266538190244392,小月。,11,2932,[等级14],[粉丝团 Lv11]
21:02:28,96596656680,KT脑🎀,9,2975,[等级25],[粉丝团 Lv11]
21:02:28,76909642724,老乔,7,2975,[等级12],[粉丝团 Lv2]
21:02:28,3254156409968983,别来无恙,8,2975,,
21:02:29,4266538190244392,小月。,11,3008,[等级14],[粉丝团 Lv11]
21:02:29,59646917088,♠️,10,3042,[等级26],[粉丝团:张君雅 Lv15]
21:02:29,96596656680,KT脑🎀,4,3052,[等级25],[粉丝团 Lv11]
21:02:29,3254156409968983,别来无恙,10,3052,,
21:02:30,4266538190244392,小月。,10,3084,[等级14],[粉丝团 Lv11]
21:02:32,59646917088,♠️,8,3116,[等级26],[粉丝团:张君雅 Lv15]
21:02:32,84655336157,kimi 🌾,8,3125,[等级21],[粉丝团 Lv7]
21:02:32,3254156409968983,别来无恙,9,3125,,
21:02:32,4266538190244392,小月。,10,3155,[等级14],[粉丝团 Lv11]
21:02:33,108173846242,💞楠栀🇨🇳,8,3155,[等级14],
21:02:34,59646917088,♠️,2,3185,[等级26],[粉丝团:张君雅 Lv15]
21:02:34,3254156409968983,别来无恙,10,3195,,
21:02:34,4266538190244392,小月。,10,3227,[等级14],[粉丝团 Lv11]
21:02:35,96596656680,KT脑🎀,9,3252,[等级25],[粉丝团 Lv11]
21:02:35,59646917088,♠️,3,3252,[等级26],[粉丝团:张君雅 Lv15]
21:02:35,3254156409968983,别来无恙,8,3255,,
21:02:37,101138818359,小鱼,3,3266,[等级34],[粉丝团 Lv15]
21:02:38,108173846242,💞楠栀🇨🇳,9,3286,[等级14],
21:02:38,75406127231,無情,11,3298,[等级31],[粉丝团 Lv8]
21:02:39,3254156409968983,别来无恙,9,3307,,
21:02:39,4266538190244392,小月。,11,3347,[等级14],[粉丝团 Lv11]
21:02:39,108173846242,💞楠栀🇨🇳,10,3347,[等级14],
21:02:40,59646917088,♠️,3,3376,[等级26],[粉丝团:张君雅 Lv15]
21:02:40,3254156409968983,别来无恙,10,3385,,
21:02:40,101138818359,小鱼,9,3395,[等级34],[粉丝团 Lv15]
21:02:41,108173846242,💞楠栀🇨🇳,10,3405,[等级14],
21:02:41,59646917088,♠️,4,3440,[等级26],[粉丝团:张君雅 Lv15]
21:02:44,3254156409968983,别来无恙,9,3451,,
21:02:44,101138818359,小鱼,11,3472,[等级34],[粉丝团 Lv15]
21:02:44,108173846242,💞楠栀🇨🇳,9,3481,[等级14],
21:02:45,59646917088,♠️,10,3516,[等级26],[粉丝团:张君雅 Lv15]
21:02:45,3254156409968983,别来无恙,6,3526,,
21:02:45,101138818359,小鱼,10,3546,[等级34],[粉丝团 Lv15]
21:02:45,108173846242,💞楠栀🇨🇳,10,3557,[等级14],
21:02:45,69513571814,汉堡🍔,1,3593,[等级15],[粉丝团 Lv12]
21:02:46,100528477979,C-Feb04-Aqr,1,3614,[等级8],
21:02:46,101138818359,小鱼,10,3626,[等级34],[粉丝团 Lv15]
21:02:47,108173846242,💞楠栀🇨🇳,10,3636,[等级14],
21:02:47,96596656680,KT脑🎀,10,3656,[等级25],[粉丝团 Lv11]
21:02:48,101138818359,小鱼,10,3693,[等级34],[粉丝团 Lv15]
21:02:48,100528477979,C-Feb04-Aqr,5,3693,[等级8],
21:02:49,108173846242,💞楠栀🇨🇳,10,3703,[等级14],
21:02:49,96596656680,KT脑🎀,9,3720,[等级25],[粉丝团 Lv11]
21:02:50,101138818359,小鱼,10,3753,[等级34],[粉丝团 Lv15]
21:02:51,4266538190244392,小月。,11,3763,[等级14],[粉丝团 Lv11]
21:02:51,108173846242,💞楠栀🇨🇳,10,3772,[等级14],
21:02:51,96596656680,KT脑🎀,9,3778,[等级25],[粉丝团 Lv11]
21:02:52,101138818359,小鱼,10,3819,[等级34],[粉丝团 Lv15]
21:02:52,91695087959,LIU,9,3829,[等级11],[粉丝团 Lv3]
21:02:53,108173846242,💞楠栀🇨🇳,10,3837,[等级14],
21:02:53,96596656680,KT脑🎀,8,3868,[等级25],[粉丝团 Lv11]
21:02:54,7465029989924209724,7,10,3882,[等级9],
21:02:54,69423164739,美孟,4,3882,[等级21],[粉丝团 Lv5]
21:02:55,108173846242,💞楠栀🇨🇳,11,3927,[等级14],
21:02:55,96596656680,KT脑🎀,8,3947,[等级25],[粉丝团 Lv11]
21:02:56,7465029989924209724,7,8,3957,[等级9],
21:02:56,101138818359,小鱼,10,3986,[等级34],[粉丝团 Lv15]
21:02:57,108173846242,💞楠栀🇨🇳,10,4003,[等级14],
21:02:57,69513571814,汉堡🍔,1,4013,[等级15],[粉丝团 Lv12]
21:02:58,101138818359,小鱼,10,4055,[等级34],[粉丝团 Lv15]
21:02:58,109174898254,✨✨✨別安静.,3,4058,[等级8],[粉丝团 Lv7]
21:02:58,104975841399,缘来是你，,1,4085,[等级16],
21:02:59,108173846242,💞楠栀🇨🇳,10,4085,[等级14],
21:03:00,101138818359,小鱼,10,4131,[等级34],[粉丝团 Lv15]
21:03:00,2274247923467549,知遇👣,12,4194,[等级24],[粉丝团 Lv10]
21:03:01,4266538190244392,小月。,11,4214,[等级14],[粉丝团 Lv11]
21:03:01,3109074429031560,洽叽,59,4214,[等级28],[粉丝团 Lv15]
21:03:02,101138818359,小鱼,10,4279,[等级34],[粉丝团 Lv15]
21:03:02,2274247923467549,知遇👣,13,4285,[等级24],[粉丝团 Lv10]
21:03:03,108173846242,💞楠栀🇨🇳,10,4377,[等级14],
21:03:03,3109074429031560,洽叽,60,4377,[等级28],[粉丝团 Lv15]
21:03:04,7465029989924209724,7,3,4402,[等级9],
21:03:04,2274247923467549,知遇👣,12,4421,[等级24],[粉丝团 Lv10]
