time,current,total_pv,total_user,online_anchor
21:02:13,193,168,168,193
21:02:13,307,337,337,307
21:02:14,193,168,168,193
21:02:14,453,526,526,453
21:02:14,221,227,227,221
21:02:14,193,168,168,193
21:02:15,453,526,526,453
21:02:17,221,227,227,221
21:02:17,307,337,337,307
21:02:18,307,337,337,307
21:02:24,453,526,526,453
21:02:34,715,849,849,715
21:02:36,543,680,680,543
21:02:40,543,680,680,543
21:02:44,715,849,849,715
21:02:46,453,526,526,453
21:02:48,715,849,849,715
21:02:50,1158,1838,1838,1158
21:02:58,1268,2037,2037,1268
21:03:00,918,1512,1512,918
21:03:04,841,1304,1304,841
21:03:06,1268,2037,2037,1268
21:03:08,1268,2037,2037,1268
21:03:15,918,1512,1512,918
21:03:19,1268,2037,2037,1268
21:03:23,1601,2571,2571,1601
21:03:25,1601,2571,2571,1601
21:03:36,1601,2571,2571,1601
21:03:40,2083,3445,3445,2083
21:03:44,1917,3110,3110,1917
21:03:46,1601,2571,2571,1601
21:03:48,1917,3110,3110,1917
21:03:50,2235,3789,3789,2235
21:03:52,2401,4141,4141,2401
21:03:54,2235,3789,3789,2235
21:03:58,1917,3110,3110,1917
21:04:00,2083,3445,3445,2083
21:04:08,2462,4392,4392,2462
21:04:19,2345,4026,4026,2345
21:04:21,2345,4026,4026,2345
21:04:22,2663,4917,4917,2663
21:04:26,2462,4392,4392,2462
21:04:28,2636,4812,4812,2636
21:04:38,2734,5118,5118,2734
21:04:46,2837,5419,5419,2837
21:04:50,2837,5419,5419,2837
21:04:52,2734,5118,5118,2734
21:04:58,2925,5625,5625,2925
21:05:02,2925,5625,5625,2925
21:05:12,3293,6822,6822,3293
21:05:20,3148,6165,6165,3148
21:05:22,3368,7140,7140,3368
21:05:30,3530,7602,7602,3530
21:05:40,3641,8125,8125,3641
21:05:43,2562,4703,4703,2562
21:05:51,3750,8548,8548,3750
21:05:52,3368,7140,7140,3368
21:06:04,3641,8125,8125,3641
21:06:12,3641,8125,8125,3641
21:06:18,3750,8548,8548,3750
21:06:20,3566,7750,7750,3566
21:06:22,3805,8686,8686,3805
21:06:24,4036,9648,9648,4036
21:06:26,3641,8125,8125,3641
21:06:34,3863,8968,8968,3863
21:06:44,4243,1.0万,1万+,4243
21:06:54,4243,1.0万,1万+,4243
21:06:56,4036,9648,9648,4036
21:06:58,4290,1.1万,1万+,4290
21:07:00,4173,1.0万,1万+,4173
21:07:08,4681,1.2万,1万+,4681
21:07:18,4508,1.1万,1万+,4508
21:07:20,4681,1.2万,1万+,4681
21:07:22,4508,1.1万,1万+,4508
21:07:24,4508,1.1万,1万+,4508
21:07:26,4681,1.2万,1万+,4681
21:07:30,4886,1.3万,1万+,4886
