time,user_id,user_name,content,grade,fans_club
21:01:22,1577134459984204,家国信仰永存,1,[等级20],[粉丝团 Lv5]
21:01:22,2344632289602847,长安有雪,来了,[等级18],[粉丝团 Lv8]
21:01:22,60720763321,″北柠″🐾,[比心][比心][比心][比心],[等级34],[粉丝团 Lv7]
21:01:22,104579232313,葛富贵,迟到了，道歉！,[等级29],[粉丝团 Lv4]
21:01:22,2631559126457991,小俊,1,[等级18],
21:01:23,99853659383,日行一善积大德，日行两善积积大大德。,海岛悍妇又来了,[等级20],
21:01:23,926245658299347,翘嘴儿,喔喔莫,[等级25],[粉丝团 Lv10]
21:01:24,104826304605,㞮孞,迟到一分钟,[等级15],[粉丝团 Lv5]
21:01:24,97438866789,晚风🌾,来干,[等级15],
21:01:24,63416229807,风沙迷了眼⁵¹⁰⁷⁴,吃啥呢,[等级21],[粉丝团 Lv15]
21:01:24,4300887604074349,来好运,一进来就听到你念经,[等级20],[粉丝团 Lv11]
21:01:24,92979001880,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤLayMan·,每天唱两次，[捂脸],[等级14],[粉丝团 Lv9]
21:01:24,97438866789,晚风🌾,开干,[等级15],
21:01:24,4409484139561708,爱老付油,一定要抽到我，老黑,[等级17],[粉丝团 Lv8]
21:01:24,71407149446,小幸运,天天迟到,[等级6],[粉丝团 Lv5]
21:01:25,1261862762591260,小彭同學,迟到1分钟[看],[等级6],[粉丝团 Lv8]
21:01:25,102274202810,月见,叽里呱啦说的啥,[等级21],[粉丝团 Lv11]
21:01:27,3459486979195784,慕,吃完了再说话,[等级25],[粉丝团 Lv9]
21:01:27,75956341032,唯一,来了,[等级16],[粉丝团 Lv10]
21:01:29,3327583715595144,宋煜,吃啥呢,[等级11],[粉丝团 Lv3]
21:01:29,50666801854,赵大欠,张老黑晚上好,[等级11],
21:01:29,104579232313,葛富贵,迟到一分钟！道歉,[等级29],[粉丝团 Lv4]
21:01:29,3778395903894708,不吃香菜,张老黑,[等级6],
21:01:33,2552435347306792,“”迷茫”,老黑，你越来越不准时了,[等级3],[粉丝团 Lv5]
21:01:33,92979001880,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤLayMan·,听完也不困了,[等级14],[粉丝团 Lv9]
21:01:35,98183588940,豁别个撒,开干,[等级2],[粉丝团 Lv2]
21:01:35,1827809526030755,（小Tang) 吴不钓鱼,君雅晚上好,[等级11],[粉丝团 Lv7]
21:01:35,75956341032,唯一,哈喽爱播,[等级16],[粉丝团 Lv10]
21:01:35,69413573256,路西法,大咪啥时候播,[等级5],
21:01:37,65885052114,看透不说透,今天定闹钟来的[捂脸],[等级11],[粉丝团 Lv2]
21:01:37,109218361285,我挺好,面包锁喉,[等级12],[粉丝团 Lv11]
21:01:38,62781248724,橙子🦷🦷(好运版）,我来了爱播,[等级32],[粉丝团 Lv10]
21:01:39,2790977550954760,用户1908965688641,老黑来了来了,[等级1],
21:01:41,50824251791,✨ゞ玉·,[比心][比心],[等级21],[粉丝团 Lv10]
21:01:43,96565447462,时宜,好！你开播我开睡,[等级30],[粉丝团:张君雅 Lv15]
21:01:44,1876241704561321,白烨林,老黑,[等级5],
21:01:45,104803777962,🚬᭄归零ঞৣঁ᭄[干杯],吃啥呢,[等级15],[粉丝团 Lv5]
21:01:45,1187907089994216,惜。,刚刷完你唱歌[呲牙],[等级12],[粉丝团 Lv7]
21:01:45,73518481792,说谢谢,在吃啥,[等级27],[粉丝团 Lv10]
21:01:48,1666502089259976,Lucky,宝宝开播了,,
21:01:48,75956341032,唯一,开延迟了吗？,[等级16],[粉丝团 Lv10]
21:01:49,95582737508,豆逗,今天没迟到，道歉,[等级35],
21:01:52,61874006555,梵高先生⁰⁷²⁶,你还是玩游戏吧，别唱歌了老黑,[等级28],[粉丝团 Lv4]
21:01:52,97438866789,晚风🌾,去泡妞了,[等级15],
21:01:54,92199952229,王闹闹和王乖乖,大咪啥时候回来,[等级25],
21:01:54,2344632289602847,长安有雪,嫂子开门我是我哥,[等级18],[粉丝团 Lv8]
21:01:58,53510411590,AAAAa,宝贝我来了,[等级20],
21:02:00,75956341032,唯一,吃的啥？,[等级16],[粉丝团 Lv10]
21:02:00,4100521391566020,黑大帅呀,哈哈哈,,
21:02:06,55939050706,小可爱胖丁,大咪什么时候开播啊,[等级24],[粉丝团 Lv9]
21:02:06,73518481792,说谢谢,在吃啥呀老黑,[等级27],[粉丝团 Lv10]
21:02:06,62612700356,2 丶 1,新红装,[等级4],[粉丝团 Lv8]
21:02:10,92460650653,悯诉,嫂子开门,[等级13],[粉丝团 Lv11]
21:02:13,62612700356,2 丶 1,新红装,[等级4],[粉丝团 Lv8]
21:02:15,3712397299157015,昍翀🦁🐾,老黑拉我,[等级6],[粉丝团 Lv5]
21:02:16,1046374607756734,@你,已经选你给我抽了,[等级27],[粉丝团 Lv11]
21:02:18,98183588940,豁别个撒,咪姐多久回来啊？,[等级2],[粉丝团 Lv2]
21:02:18,79728303136,张抖抖,不是说抽红妆嘛,[等级9],[粉丝团 Lv8]
21:02:22,104579232313,葛富贵,猫局,[等级29],[粉丝团 Lv4]
21:02:26,55939050706,小可爱胖丁,大咪什么时候开播啊,[等级24],[粉丝团 Lv9]
21:02:26,104579232313,葛富贵,拉猫局阿,[等级29],[粉丝团 Lv4]
21:02:29,65885052114,看透不说透,看你直播睡觉很香，你不开播睡不着,[等级11],[粉丝团 Lv2]
21:02:31,509818415880967,中意李,晚上好,[等级6],
21:02:34,75956341032,唯一,哈喽爱播,[等级16],[粉丝团 Lv10]
21:02:35,111047154256,一只小杨糕,不是说今天抽红的,[等级4],
21:02:37,1319017338112280,风,君雅，做我儿媳要多少彩礼，儿子23,,
21:02:42,62556044936,钧澜未央,真准时啊,[等级17],[粉丝团 Lv8]
21:02:51,2326217848783460,放之,今天没迟到，道歉,[等级22],[粉丝团 Lv7]
21:03:02,3918304253056317,夜的十二章,呵呵,[等级23],[粉丝团 Lv11]
21:03:02,55939050706,小可爱胖丁,@风 一个亿,[等级24],[粉丝团 Lv9]
21:03:04,81838150256314,sky,新红装,[等级4],[粉丝团 Lv6]
21:03:08,2274247923467549,知遇👣,@风 188万,[等级24],[粉丝团 Lv10]
21:03:11,3712397299157015,昍翀🦁🐾,先问下，猫尿干净了没有,[等级6],[粉丝团 Lv5]
21:03:12,75956341032,唯一,第一把不吃鸡,[等级16],[粉丝团 Lv10]
21:03:12,95582737508,豆逗,@风 我怀疑你想给你儿子找后妈,[等级35],
21:03:14,93114988774,Alley,为啥刚刚问Ai你几点直播   他说不播了[捂脸][捂脸],[等级8],[粉丝团 Lv1]
21:03:17,53067276670,灭亡吧世界,批评的好噢,[等级14],
21:03:18,2937526807441763,护花俗人,我来了宝宝,[等级24],[粉丝团 Lv10]
21:03:20,55939050706,小可爱胖丁,@知遇👣 说少了[看],[等级24],[粉丝团 Lv9]
21:03:23,509818415880967,中意李,放5天假，爽歪歪了,[等级6],
21:03:24,2159866394979848,用户3415706323344,上回和上上回,[等级4],[粉丝团 Lv6]
21:03:25,2937526807441763,护花俗人,我来了宝贝,[等级24],[粉丝团 Lv10]
21:03:33,71515323481,叉车租赁有限公司,老黑，我来了,[等级26],[粉丝团 Lv14]
21:03:34,2790977550954760,用户1908965688641,@风 8000万,[等级1],
21:03:38,2128294197087646,黄先生,云南？,[等级4],
21:03:39,65885052114,看透不说透,让猫局尿完尿再来,[等级11],[粉丝团 Lv2]
21:03:40,4358937121142893,日久生情,来了来了[比心][比心][比心],[等级15],[粉丝团 Lv5]
21:03:43,75956341032,唯一,放假了哈哈哈哈哈,[等级16],[粉丝团 Lv10]
21:03:49,1022991848191452,炸毛🐸,八毛回来就开播了[捂脸],[等级15],[粉丝团 Lv8]
21:03:56,2274247923467549,知遇👣,@小可爱胖丁 差不多了,[等级24],[粉丝团 Lv10]
21:03:57,61553630197,清欢.,哈哈哈哈哈,[等级15],[粉丝团 Lv11]
21:03:58,102597770628,ℳ₯㎕叁潴潴潴🐝࿐,晚上好,[等级19],[粉丝团 Lv10]
21:03:59,2524131724627741,白杆杆™,劳动节放什么假[捂脸],[等级14],[粉丝团 Lv11]
21:03:59,91609062591,久久💞ــــﮩﮩ٨,[憨笑][摸头][憨笑][摸头][憨笑][摸头][憨笑][摸头][憨笑][摸头][憨笑][摸头],[等级35],[粉丝团 Lv15]
21:04:02,71533879276,懒得起名字,一分钟都不行,[等级15],[粉丝团 Lv7]
21:04:04,102741124676,逐风,卡个灯牌,[等级13],[粉丝团 Lv5]
21:04:04,59197600987,冬玥,啧啧啧,[等级13],[粉丝团 Lv10]
21:04:05,2162113971227251,幸运鹅,猛攻,[等级12],
21:04:05,75956341032,唯一,今晚高手多,[等级16],[粉丝团 Lv10]
21:04:12,3836665492157003,小富即安.......,[呲牙][呲牙][呲牙],[等级3],[粉丝团 Lv4]
21:04:12,262145098909596,傻乎乎,别问了新红装要等12点,[等级4],
21:04:14,4389705835090323,偷狗被打断三条腿,撞车了,[等级3],
21:04:15,872327206432780,杜子疼,我迟到了，给我道歉,[等级12],[粉丝团 Lv8]
21:04:15,103843259888,⑦,老黑,[等级32],[粉丝团 Lv7]
21:04:18,111047154256,一只小杨糕,君雅，你天天生日，我天天祝，今天轮到我了，你也说句呗,[等级4],
21:04:19,92470644873,ㅤ ㅤ望雪城,猫局在，又可以嚣张了,[等级11],
21:04:20,59197600987,冬玥,[看][看][看],[等级13],[粉丝团 Lv10]
21:04:23,75436531083,✘坏小子@,那旷工算几次迟到,[等级12],[粉丝团 Lv10]
21:04:23,55159220102,BWRZ（记录美好）,[懵],[等级36],[粉丝团 Lv16]
21:04:26,97209516129,333,大咪呢,[等级14],
21:04:26,98095182081,手握风云★,下水道堵了,[等级20],[粉丝团 Lv2]
21:04:26,100632191540,佐助呀！,老黑道歉,[等级32],[粉丝团 Lv7]
21:04:29,241487546953213,英儿,谁能告诉我打和平精英屏幕老是晃动怎么办？,[等级17],[粉丝团 Lv8]
21:04:34,4427058213837428,一碗瘦肉粥,提前半小时搞好，就不会迟到[捂脸],[等级7],[粉丝团 Lv8]
21:04:36,1723660662481374,💫☘︎ ݁꙳无恙 ﻬꦿ,带薪开播拉屎算不算迟到,[等级43],[粉丝团:张君雅 Lv5]
21:04:38,3712397299157015,昍翀🦁🐾,老黑，我儿子16等你两年，你出多少陪嫁[懵][懵][懵],[等级6],[粉丝团 Lv5]
21:04:38,96565447462,时宜,要不就是电瓶被偷了[捂脸][捂脸],[等级30],[粉丝团:张君雅 Lv15]
21:04:42,55159220102,BWRZ（记录美好）,[小鼓掌][偷笑][小鼓掌][偷笑][小鼓掌][偷笑],[等级36],[粉丝团 Lv16]
21:04:45,3488118696324872,家有沐宝,认出来了,[等级7],[粉丝团 Lv9]
21:04:46,4389705835090323,偷狗被打断三条腿,延迟这么高的吗？,[等级3],
21:04:46,69473598101,冬宝,大米呢,[等级27],[粉丝团 Lv6]
21:04:47,3057107088970859,失约的花海,怎么不和四七和运营大师一起打呀,[等级24],
21:04:47,59197600987,冬玥,呀,[等级13],[粉丝团 Lv10]
21:04:48,75956341032,唯一,去吃猪蹄,[等级16],[粉丝团 Lv10]
21:04:50,2906732322103703,虾霸天,全蛋，最近怎么没去喂鱼,[等级26],[粉丝团 Lv6]
