time,user_id,user_name,action,follow_count,grade,fans_club
21:02:41,104944124726,吉林《小宁》,关注了主播,1211711,[等级17],[粉丝团 Lv4]
21:02:59,65885052114,看透不说透,关注了主播,1211712,[等级11],[粉丝团 Lv2]
21:04:05,75632709813,鸡,关注了主播,1211713,[等级6],
21:04:09,3318798960045972,枫,关注了主播,1211714,,
21:04:14,342648954038303,是 阿信🤖,关注了主播,1211715,[等级12],
21:04:17,7455299958842573884,生椰拿铁☕️,关注了主播,1211715,[等级3],
21:04:21,69816048134,漫漫,关注了主播,1211716,[等级27],
21:06:10,2546060780649452,名字不好取,关注了主播,1211716,[等级5],
21:06:46,83157496610,H·๑e౪ᩚ,关注了主播,1211721,[等级13],
21:08:07,2217042465003886,²⁰²⁴Newlife,关注了主播,1211721,[等级18],
21:08:09,109937395119,林,关注了主播,1211722,[等级3],
21:09:31,75968518641,谁,关注了主播,1211723,[等级25],[粉丝团 Lv4]
21:10:20,60506804513,🎈Wangᴗᰔᩚ,关注了主播,1211721,[等级5],[粉丝团 Lv1]
21:11:22,2052139611340364,阿苏勒,关注了主播,1211724,[等级30],
21:12:07,2686835333807405,用户946886496,关注了主播,1211726,[等级3],
21:13:12,283011496552091,对方正在输入…,关注了主播,1211726,,
21:13:51,97481555624,魔力城堡,关注了主播,1211726,[等级11],
21:14:09,94758759264,赢嵛,关注了主播,1211727,[等级23],[粉丝团 Lv10]
21:14:21,98586302965,沉静在黑夜中,关注了主播,1211730,[等级11],
21:16:16,2282224872334494,晚柠,关注了主播,1211727,[等级3],
21:17:15,3162625661482845,哇哈哈哈哈,关注了主播,1211728,,
21:17:30,446878771323532,嗳仔≡ω≡杭雅,关注了主播,1211726,[等级1],
21:18:43,18873556009,陈大帅,关注了主播,1211728,[等级9],[粉丝团 Lv1]
21:19:29,166764192996408,koi…,关注了主播,1211728,[等级6],
21:20:05,60102037494,🐟锦鲤小仙仙🐟,关注了主播,1211728,[等级17],
21:20:09,3696998778681344,小星,关注了主播,1211729,,
21:20:38,96898369878,。。！？,关注了主播,1211733,[等级2],
21:20:49,59076467531,俗世iu,关注了主播,1211734,[等级1],
21:21:39,106658279529,易枫,关注了主播,1211734,[等级25],[粉丝团 Lv10]
21:22:15,1242922111741674,ㅤㅤㅤ   ㅤㅤㅤ,关注了主播,1211735,,
21:22:57,7460780732916319290,康仔,关注了主播,1211735,,
21:23:11,712137185704029,炸鸡,关注了主播,1211735,[等级13],
21:23:49,102987000696,叮叮佳🧚🏻‍♀️,关注了主播,1211736,[等级8],
21:24:12,145601554549479,小阳不是小烊,关注了主播,1211734,,
21:24:46,2902337822656752,九幽👿👻👽,关注了主播,1211737,[等级36],
21:25:19,107767140512,丹妮妮妮呀～🌈,关注了主播,1211738,[等级3],
21:25:28,101990682622,W15,关注了主播,1211738,[等级10],
21:26:13,66918026465,阿嗯阿嗯阿,关注了主播,1211739,[等级5],
21:26:23,1924620699310148,用户6953313337804,关注了主播,1211739,,
21:26:37,69797230095,戴希善,关注了主播,1211741,,
21:27:02,51212534006,Book,关注了主播,1211741,[等级21],
21:28:07,51008864009465,阿飞,关注了主播,1211743,[等级2],
21:28:50,111428216309,三生有幸,关注了主播,1211743,[等级6],
21:29:18,60606102009,孙慢慢,关注了主播,1211743,[等级40],
21:29:38,96822817938,丿簡丶單,关注了主播,1211743,,
21:29:45,97137894718,人间正道,关注了主播,1211747,,
21:30:06,1051560453088583,ಡ自渡ω自愈ಡ,关注了主播,1211747,[等级26],
21:30:44,747307305274360,盼TvT,关注了主播,1211753,,
21:31:25,2858343512678979,丘壑,关注了主播,1211755,[等级9],
21:31:28,73968115056,1,关注了主播,1211755,[等级25],
21:31:49,538119358658025,幸福一生,关注了主播,1211757,,
21:31:51,61044399914,锦掌门｜南京江宁 ❤️婷婷|美业,关注了主播,1211758,[等级20],[粉丝团 Lv2]
21:32:16,2858343512678979,丘壑,关注了主播,1211756,[等级9],[粉丝团 Lv1]
21:32:53,100481862060,敌敌畏,关注了主播,1211755,[等级21],
21:33:16,2049902002850573,伟,关注了主播,1211757,,
21:33:18,1275030813020887,水瓶·新,关注了主播,1211758,[等级39],
21:33:45,108003028888,回忆的沙漏,关注了主播,1211759,,
21:34:30,2251403650413949,甩小敏,关注了主播,1211755,[等级11],
21:34:40,92811102334,吃猫的鱼,关注了主播,1211762,[等级2],
21:34:46,95806709165,AD钙奶,关注了主播,1211762,,
21:34:58,1047195788786173,薛炎宇,关注了主播,1211763,[等级22],
21:35:15,1558477841639228,云边信使,关注了主播,1211764,,
21:35:18,17017143034,陌顾北,关注了主播,1211765,[等级29],
21:35:22,103456543600,缘起,关注了主播,1211767,[等级1],
21:35:30,2670091508647560,红民,关注了主播,1211767,,
21:35:42,72193412384,醒在深海里的猫🐱,关注了主播,1211769,[等级2],
21:35:49,1790444368835032,贺布烦,关注了主播,1211769,[等级18],
21:35:51,73559055499,顶峰࿆ྃ  @相见࿐,关注了主播,1211769,[等级1],
21:35:51,1602431099079900,失去,关注了主播,1211772,,
21:35:56,3584837355571037,友,关注了主播,1211772,,
21:36:50,36760235281683,尘陌,关注了主播,1211764,[等级2],[粉丝团 Lv3]
21:37:02,71628500148,ゞ过客╰→,关注了主播,1211775,[等级14],
21:37:17,59382163940,然,关注了主播,1211775,[等级14],
21:38:11,329448934874851,大意,关注了主播,1211764,[等级21],
21:39:27,726144806554968,心@情,关注了主播,1211779,[等级16],
21:40:07,2455639321745824,小小青稞,关注了主播,1211782,[等级2],
21:40:14,2674479104270812,用户1530584229282,关注了主播,1211782,,
21:43:13,78466173316,王蜀黍,关注了主播,1211782,[等级1],
21:43:51,2359981435797379,人间看客,关注了主播,1211783,[等级2],
21:44:51,105614299326,潵z悾尐誋憶,关注了主播,1211787,[等级15],[粉丝团 Lv11]
21:45:31,62823704564,雪儿🎀,关注了主播,1211787,[等级19],
21:46:06,2528515193584664,Ruthless,关注了主播,1211788,[等级15],
21:46:25,1559119004039,长痛不如短痛,关注了主播,1211788,,
21:46:28,100166938173,茶*,关注了主播,1211789,[等级32],
21:46:44,70651993372,溪,关注了主播,1211791,[等级5],
21:47:35,70468419690,晚梦🍀,关注了主播,1211791,[等级8],
21:49:40,60751998657,光伏项目投资,关注了主播,1211787,[等级1],
21:50:00,93164344461,别冒老坛,关注了主播,1211788,[等级10],
21:50:04,2265434744426636,向杰,关注了主播,1211790,[等级21],[粉丝团 Lv6]
21:51:28,53538557894,🍭冰言冰语,关注了主播,1211788,[等级21],
21:52:33,2430345081531444,XDM.,关注了主播,1211789,,
21:52:52,65787657698,石头,关注了主播,1211788,[等级22],
21:52:57,91575178871,时间的尘埃,关注了主播,1211788,[等级11],
21:53:19,76482832026,历史奇闻,关注了主播,1211789,[等级1],
21:54:30,4195340479372136,尹辻弌ᩚ💞࿐,关注了主播,1211789,,
21:54:43,1711262134961134,✍公道在人心，做人别贪心🇨🇳🇨🇳🇨🇳,关注了主播,1211789,,
21:55:03,97744282396,@王,关注了主播,1211791,[等级18],
21:55:07,111505266802,听风看月123,关注了主播,1211791,[等级12],
21:55:47,46637127833084,为拯救你而来,关注了主播,1211792,,
21:56:37,1453991128732624,彦祖,关注了主播,1211792,,
21:58:23,3581531828283552,八宝粥1,关注了主播,1211795,,
21:58:38,52418740233534,无方,关注了主播,1211792,,
21:58:44,765685846511965,8.12,关注了主播,1211798,[等级5],
21:58:52,4381991116735724,@Chovy,关注了主播,1211799,[等级5],
21:59:13,96815272282,小布丁他爸,关注了主播,1211800,[等级3],
21:59:44,1283847107650830,科技,关注了主播,1211802,[等级11],
22:00:27,78703856717,石中,关注了主播,1211802,[等级6],
22:00:42,1810235311261097,雾,关注了主播,1211802,,
22:01:41,54587139307,老刘食量大如牛,关注了主播,1211803,[等级11],
22:01:59,99294924849,사랑해 、,关注了主播,1211804,[等级11],
22:02:16,82907977259,再见,关注了主播,1211803,[等级26],
22:03:09,104742263344,Linvng,关注了主播,1211803,[等级5],[粉丝团 Lv1]
22:03:47,82608333441,赵祥,关注了主播,1211806,[等级5],
22:04:01,2739581082156024,时间占线,关注了主播,1211807,[等级1],
22:04:43,152155963537956,单字与,关注了主播,1211806,,
22:05:28,3109032674730963,朵朵花在等你回来,关注了主播,1211806,[等级6],
22:05:29,1063936697317667,赴秋安,关注了主播,1211807,[等级10],
22:05:36,108050488052,我狠懒,关注了主播,1211807,,
22:06:49,1046378021914119,Nancy🏂🏻,关注了主播,1211806,[等级27],
22:06:49,72994652377,摆渡人,关注了主播,1211808,[等级16],
22:06:54,4186539397746093,鴻禹飛,关注了主播,1211808,,
22:07:04,1858588210633400,凯迪之家,关注了主播,1211808,[等级15],
22:07:22,93468979961,Abiubiu,关注了主播,1211811,[等级2],
22:07:32,937242712606179,MIN,关注了主播,1211813,[等级16],
22:07:41,3162651161272955,miky🐾,关注了主播,1211813,[等级20],
22:07:41,96309553316,终结者,关注了主播,1211813,[等级5],
22:07:44,60638986522,💞࿐ღ 从不困于女士 💞࿐,关注了主播,1211815,[等级4],
22:07:49,64676776387,☞旧言虐心💔☜,关注了主播,1211815,[等级15],
22:07:54,105004954628,飞毯,关注了主播,1211815,[等级8],
22:07:56,58801861747,权限,关注了主播,1211816,[等级14],
22:08:08,1849858468101896,晚风🍁,关注了主播,1211816,[等级2],
22:08:56,3333318748675816,别期待,关注了主播,1211818,[等级14],
22:08:57,111360885854,Len,关注了主播,1211818,[等级31],
22:09:02,1484768521764067,"9,",关注了主播,1211819,[等级17],
22:09:04,3140628495207183,🎫 🎖️ 🏅闹闹哥哥,关注了主播,1211821,[等级21],
22:09:33,90601371207005,🐯 9 🐯,关注了主播,1211820,[等级25],
22:09:41,4406477877155667,森,关注了主播,1211821,[等级1],
22:09:44,3819026927860087,搁浅的鱼！！,关注了主播,1211824,[等级20],
22:09:48,2097486671134267,她是我的你别碰@,关注了主播,1211827,[等级24],
22:09:48,102939309957,爱你❤️,关注了主播,1211827,[等级17],
22:09:50,3151649521546221,果果,关注了主播,1211831,,
22:09:50,25973518268,一亿达不刘,关注了主播,1211831,[等级8],[粉丝团 Lv2]
22:09:52,111372578021,JeffF.,关注了主播,1211830,[等级15],[粉丝团 Lv1]
22:09:54,75860402018,゛_______Yu,关注了主播,1211830,[等级2],
22:10:51,108118479867,话不多说，直接找小刘,关注了主播,1211830,[等级17],
22:11:06,4432883348409063,茄子小蓝,关注了主播,1211831,[等级16],
22:12:36,2305002941459310,一只鱼☜,关注了主播,1211832,[等级21],[粉丝团 Lv10]
22:12:36,2305002941459310,一只鱼☜,关注了主播,1211832,[等级21],[粉丝团 Lv10]
22:13:20,81479013784,6866,关注了主播,1211833,[等级9],
22:13:36,69612053701,牛逼又活了一天,关注了主播,1211833,[等级11],
22:13:53,3951016761912560,静心聆听世界,关注了主播,1211834,,
22:13:59,97976850849,初初,关注了主播,1211834,,
22:14:15,83594111925,小神仙🤴🏻,关注了主播,1211835,[等级32],[粉丝团 Lv11]
22:15:29,4164606178102589,不装饰你的梦,关注了主播,1211833,,
22:16:15,83591433649,大王同学🐻,关注了主播,1211837,[等级12],
22:16:18,896826106973853,晚睡小猫。🐱,关注了主播,1211837,,
22:16:48,63613279842,酒酒。,关注了主播,1211839,[等级6],
22:17:23,373471792601539,吾心亦殇,关注了主播,1211839,[等级1],
22:18:03,3001027778062588,辻辷,关注了主播,1211840,,
22:19:11,1709116514641357,用户2174607585563,关注了主播,1211841,,
