time,user_id,user_name,count,total,grade,fans_club
20:55:35,3248388818877548,？？？？？？,3,499236,[等级1],
20:55:36,72526916942,黑白镶嵌的格调,36,499375,[等级14],[粉丝团 Lv10]
20:55:36,103272591392,“夏时十一”,30,499548,[等级9],
20:55:37,2673613189682704,NoN,33,499694,[等级4],[粉丝团 Lv1]
20:55:37,103272591392,“夏时十一”,6,499929,[等级9],
20:55:38,4200585207743172,I·,33,500185,[等级11],[粉丝团 Lv4]
20:55:39,84712324968,用户_0180918,36,500357,[等级10],[粉丝团 Lv4]
20:55:42,1559579081052971,路、,3,500533,[等级1],
20:55:45,108044946803,Xw,18,500671,[等级13],[粉丝团 Lv11]
20:55:48,2673613189682704,NoN,6,500806,[等级4],[粉丝团 Lv1]
20:55:52,84712324968,用户_0180918,12,500942,[等级10],[粉丝团 Lv4]
20:55:54,949590228482862,小刘妹妹呀,24,500982,[等级7],[粉丝团 Lv4]
20:55:58,7538654499440952377,꧁番茄《不》炒蛋꧂,30,501051,[等级1],[粉丝团 Lv2]
20:56:00,949590228482862,小刘妹妹呀,36,501117,[等级7],[粉丝团 Lv4]
20:56:04,7538654499440952377,꧁番茄《不》炒蛋꧂,12,501185,[等级1],[粉丝团 Lv2]
20:56:06,949590228482862,小刘妹妹呀,33,501259,[等级7],[粉丝团 Lv4]
20:56:10,99193607870,✨🌟星⭐️海💫✨,3,501313,[等级10],[粉丝团 Lv1]
20:56:12,64503398204,ipone已停用,3,501381,[等级5],
20:56:15,7634903453235577914,鬼猫,3,501432,[等级2],[粉丝团 Lv1]
20:56:19,63237449234,äkbår,24,501458,[等级13],
20:56:22,7538654499440952377,꧁番茄《不》炒蛋꧂,27,501491,[等级1],[粉丝团 Lv2]
20:56:25,63237449234,äkbår,27,501521,[等级13],
20:56:28,2414958820991739,时予桉,3,501536,[等级15],[粉丝团 Lv5]
20:56:30,2175273249276348,L-Dec 23-Cap,33,501571,[等级20],[粉丝团 Lv1]
20:56:34,68266707735,💋Ly👣,30,501627,[等级11],
20:56:36,98578450263,十世,9,501654,[等级11],[粉丝团 Lv4]
20:56:39,4098591908957133,小鱼力,27,501711,[等级6],[粉丝团 Lv1]
20:56:42,2766792643325491,心無,3,501761,[等级2],
20:56:45,4098591908957133,小鱼力,30,501852,[等级6],[粉丝团 Lv1]
20:56:48,2766792643325491,心無,12,501978,[等级2],
20:56:51,2330562776280808,就想抢一单,24,502151,[等级27],[粉丝团 Lv11]
20:56:54,2766792643325491,心無,12,502302,[等级2],
20:56:57,97086457808,Le,27,502413,[等级21],[粉丝团 Lv9]
20:57:00,105723925138,宜生随缘,6,502536,[等级4],
20:57:04,2330562776280808,就想抢一单,21,502625,[等级27],[粉丝团 Lv11]
20:57:06,2175273249276348,L-Dec 23-Cap,27,502713,[等级20],[粉丝团 Lv1]
20:57:09,4390777689475664,不知秋,12,502779,,
20:57:13,63237449234,äkbår,21,502856,[等级13],
20:57:15,3626663310268540,aoe,6,502918,,
20:57:18,2175273249276348,L-Dec 23-Cap,18,503009,[等级20],[粉丝团 Lv1]
20:57:21,3626663310268540,aoe,12,503065,,
20:57:25,63237449234,äkbår,21,503124,[等级13],
20:57:28,2175273249276348,L-Dec 23-Cap,12,503165,[等级20],[粉丝团 Lv1]
20:57:30,2175273249276348,L-Dec 23-Cap,30,503206,[等级20],[粉丝团 Lv1]
20:57:33,92992288513,昕愿,33,503243,[等级10],[粉丝团 Lv2]
20:57:37,63237449234,äkbår,18,503316,[等级13],
20:57:39,92992288513,昕愿,24,503337,[等级10],[粉丝团 Lv2]
20:57:42,311886751997011,홍,12,503382,[等级7],
20:57:46,311886751997011,홍,6,503409,[等级7],
20:57:48,311886751997011,홍,3,503428,[等级7],
20:57:51,94016720552,人称위검녕⁰⁹¹³₁₉₈₆🤏,30,503457,[等级16],[粉丝团 Lv2]
20:57:54,311886751997011,홍,3,503494,[等级7],
20:57:57,94016720552,人称위검녕⁰⁹¹³₁₉₈₆🤏,27,503547,[等级16],[粉丝团 Lv2]
20:58:00,311886751997011,홍,9,503600,[等级7],
20:58:03,94016720552,人称위검녕⁰⁹¹³₁₉₈₆🤏,27,503669,[等级16],[粉丝团 Lv2]
20:58:06,311886751997011,홍,12,503712,[等级7],
20:58:09,92992288513,昕愿,24,503777,[等级10],[粉丝团 Lv2]
20:58:13,63237449234,äkbår,24,503821,[等级13],
20:58:15,94016720552,人称위검녕⁰⁹¹³₁₉₈₆🤏,27,503878,[等级16],[粉丝团 Lv2]
20:58:18,61489902130,鲸落底,6,503921,[等级5],
20:58:21,92992288513,昕愿,18,503979,[等级10],[粉丝团 Lv2]
20:58:25,311886751997011,홍,9,504016,[等级7],
20:58:27,2907580771605976,橙什么陈,9,504060,[等级15],
20:58:30,1019990913852558,许敏荣,3,504081,[等级19],[粉丝团 Lv5]
20:58:33,3626663310268540,aoe,6,504104,,
20:58:36,58541241330,讨厌吃青菜~,18,504155,[等级19],[粉丝团 Lv9]
20:58:39,3626663310268540,aoe,24,504197,,
20:58:42,58541241330,讨厌吃青菜~,24,504227,[等级19],[粉丝团 Lv9]
20:58:45,94016720552,人称위검녕⁰⁹¹³₁₉₈₆🤏,27,504283,[等级16],[粉丝团 Lv2]
20:58:48,63237449234,äkbår,30,504357,[等级13],
20:58:51,50593929138,路人甲,36,504428,[等级16],[粉丝团 Lv2]
20:58:54,58541241330,讨厌吃青菜~,12,504489,[等级19],[粉丝团 Lv9]
20:58:57,50593929138,路人甲,39,504580,[等级16],[粉丝团 Lv2]
20:59:00,92087918129,胖归胖叫胖子得思量思量,3,504636,[等级4],[粉丝团 Lv2]
20:59:03,50593929138,路人甲,36,504742,[等级16],[粉丝团 Lv2]
20:59:06,497432395255092,The123,6,504875,[等级16],
20:59:09,3626663310268540,aoe,36,505008,,
20:59:13,63237449234,äkbår,3,505157,[等级13],
20:59:15,620559814382958,木木.,24,505195,[等级15],
20:59:18,311886751997011,홍,9,505242,[等级7],
20:59:21,620559814382958,木木.,21,505300,[等级15],
20:59:24,311886751997011,홍,3,505354,[等级7],
