time,current,total_pv,total_user,online_anchor
21:02:16,605,905,905,605
21:02:16,743,1167,1167,743
21:02:17,540,746,746,540
21:02:18,1080,1855,1855,1080
21:02:18,743,1167,1167,743
21:02:21,605,905,905,605
21:02:23,605,905,905,605
21:02:25,1080,1855,1855,1080
21:02:27,743,1167,1167,743
21:02:28,1080,1855,1855,1080
21:02:30,997,1657,1657,997
21:02:34,743,1167,1167,743
21:02:36,743,1167,1167,743
21:02:38,1206,2079,2079,1206
21:02:42,1424,2393,2393,1424
21:02:44,1080,1855,1855,1080
21:02:46,1625,2708,2708,1625
21:02:50,1424,2393,2393,1424
21:02:52,1424,2393,2393,1424
21:02:58,1625,2708,2708,1625
21:03:06,1424,2393,2393,1424
21:03:08,2047,3619,3619,2047
21:03:10,1855,3120,3120,1855
21:03:14,2243,4003,4003,2243
21:03:18,2150,3891,3891,2150
21:03:20,2150,3891,3891,2150
21:03:22,2150,3891,3891,2150
21:03:24,2320,4320,4320,2320
21:03:28,2456,4628,4628,2456
21:03:34,2150,3891,3891,2150
21:03:38,2456,4628,4628,2456
21:03:48,2608,4974,4974,2608
21:03:50,2657,5179,5179,2657
21:03:52,2608,4974,4974,2608
21:03:56,2657,5179,5179,2657
21:03:58,2456,4628,4628,2456
21:04:06,2788,5610,5610,2788
21:04:08,2895,5914,5914,2895
21:04:16,2825,5705,5705,2825
21:04:24,2895,5914,5914,2895
21:04:26,3109,6469,6469,3109
21:04:36,1855,3120,3120,1855
21:04:42,3171,6581,6581,3171
21:04:46,3171,6581,6581,3171
21:04:54,3300,7063,7063,3300
21:04:56,3559,7904,7904,3559
21:05:02,3611,8031,8031,3611
21:05:06,3171,6581,6581,3171
21:05:16,3611,8031,8031,3611
21:05:26,3914,9010,9010,3914
21:05:28,3611,8031,8031,3611
21:05:30,3744,8459,8459,3744
21:05:38,3744,8459,8459,3744
21:05:48,4036,9440,9440,4036
21:05:58,3914,9010,9010,3914
21:06:00,4408,1.1万,1万+,4408
21:06:04,4036,9440,9440,4036
21:06:14,4689,1.2万,1万+,4689
21:06:26,4605,1.1万,1万+,4605
21:06:28,4689,1.2万,1万+,4689
21:06:30,4605,1.1万,1万+,4605
21:06:32,4791,1.2万,1万+,4791
21:06:44,4791,1.2万,1万+,4791
21:06:54,4791,1.2万,1万+,4791
21:06:56,4902,1.3万,1万+,4902
21:06:59,4902,1.3万,1万+,4902
21:07:04,4791,1.2万,1万+,4791
21:07:14,5155,1.4万,1万+,5155
21:07:24,5155,1.4万,1万+,5155
21:07:26,4902,1.3万,1万+,4902
21:07:28,5189,1.4万,1万+,5189
21:07:34,5245,1.4万,1万+,5245
21:07:42,5245,1.4万,1万+,5245
21:07:48,5280,1.4万,1万+,5280
21:07:56,5395,1.5万,1万+,5395
21:07:58,5280,1.4万,1万+,5280
21:08:02,5395,1.5万,1万+,5395
21:08:04,5395,1.5万,1万+,5395
21:08:06,5532,1.6万,1万+,5532
21:08:12,5532,1.6万,1万+,5532
21:08:23,5532,1.6万,1万+,5532
21:08:26,5866,1.7万,1万+,5866
21:08:28,5753,1.7万,1万+,5753
21:08:30,5753,1.7万,1万+,5753
21:08:38,5532,1.6万,1万+,5532
21:08:48,5889,1.7万,1万+,5889
21:08:58,6026,1.8万,1万+,6026
21:09:00,6103,1.8万,1万+,6103
21:09:02,5753,1.7万,1万+,5753
21:09:06,6103,1.8万,1万+,6103
21:09:16,6332,1.9万,1万+,6332
21:09:26,5967,1.8万,1万+,5967
21:09:28,6265,1.8万,1万+,6265
21:09:30,6103,1.8万,1万+,6103
21:09:32,6534,1.9万,1万+,6534
21:09:36,6407,1.9万,1万+,6407
21:09:44,6472,1.9万,1万+,6472
21:09:54,6650,2.0万,1万+,6650
21:09:56,6707,2.0万,2万+,6707
21:09:58,6707,2.0万,2万+,6707
21:10:00,6856,2.1万,2万+,6856
21:10:02,6856,2.1万,2万+,6856
21:10:08,6856,2.1万,2万+,6856
21:10:18,7008,2.1万,2万+,7008
21:10:28,7112,2.2万,2万+,7112
21:10:32,7294,2.2万,2万+,7294
21:10:34,7294,2.2万,2万+,7294
21:10:36,7171,2.2万,2万+,7171
21:10:38,7348,2.2万,2万+,7348
21:10:48,7348,2.2万,2万+,7348
21:10:55,7294,2.2万,2万+,7294
21:11:01,7008,2.1万,2万+,7008
21:11:03,7413,2.3万,2万+,7413
21:11:04,7413,2.3万,2万+,7413
