time,user_id,user_name,content,grade,fans_club
2026-05-13 21:03:47,83724542786,青遥听雪,[捂脸][捂脸][捂脸][捂脸],[等级16],[粉丝团 Lv4]
2026-05-13 21:03:47,98368135041,捡瓶盖的小哥💫,张君雅张君雅,[等级24],
2026-05-13 21:03:47,111167818654,荔枝小丸,哈哈哈哈,[等级27],[粉丝团 Lv15]
2026-05-13 21:03:48,3949873380983047,Lc.,单排的吗？,[等级15],[粉丝团 Lv7]
2026-05-13 21:03:48,52775271316,田先生·,哈哈,[等级17],[粉丝团 Lv8]
2026-05-13 21:03:48,3157445076854464,无界,我去 这不是老黑吗,[等级15],[粉丝团 Lv5]
2026-05-13 21:03:49,875653320155998,乌拉……,完犊子，死亡3号位，落地成盒,,
2026-05-13 21:03:49,3755567245175758,江,张君雅[比心],[等级7],
2026-05-13 21:03:49,4862013350589,厉扑,上来就撩,[等级21],[粉丝团 Lv11]
2026-05-13 21:03:49,67223019113,伟,老黑专业偷人,[等级23],[粉丝团 Lv9]
2026-05-13 21:03:52,2933143326688360,行者,我去，老黑艾甜妹[捂脸][捂脸][赞][赞],[等级26],[粉丝团 Lv5]
2026-05-13 21:03:53,82883261676,捷腾物流曾平☀️,小歪。小歪[互粉],[等级16],
2026-05-13 21:03:53,111578549617,এۣۖิ 晚风᭄,局哥呢,[等级10],
2026-05-13 21:03:54,100988433191,☞*^_^*涛☜,雅马哈吗,[等级8],[粉丝团 Lv9]
2026-05-13 21:03:57,64253140611,是小宋啊,那么伤那么恨那么痛,[等级17],[粉丝团 Lv11]
2026-05-13 21:03:57,2937526807441763,护花俗人,死老黑一遇妹子就变温柔,[等级24],[粉丝团 Lv10]
2026-05-13 21:03:58,64352267094,北鸢⁸⁰⁰⁸,[捂脸][捂脸][捂脸],[等级16],[粉丝团 Lv10]
2026-05-13 21:04:00,1525725697671843,暮云归²⁰²⁶,假粉。不认识ID,[等级42],[粉丝团 Lv12]
2026-05-13 21:04:01,104917868526,🌅,张老黑,[等级7],[粉丝团 Lv8]
2026-05-13 21:04:03,2427344102360279,鹏哥🐮,一下就听出来了[捂脸],[等级13],[粉丝团 Lv12]
2026-05-13 21:04:05,100720118695,随意活着,一天不看大房子是浑身难受啊[捂脸][捂脸][捂脸],[等级11],[粉丝团 Lv11]
2026-05-13 21:04:06,1525725697671843,暮云归²⁰²⁶,[泣不成声][泣不成声],[等级42],[粉丝团 Lv12]
2026-05-13 21:04:07,109737006858,繁星一点,死亡三号完了[呲牙],[等级27],[粉丝团 Lv11]
2026-05-13 21:04:08,82883261676,捷腾物流曾平☀️,小歪。小歪，OVEr[捂脸],[等级16],
2026-05-13 21:04:08,68542591755,mizhon,君雅0几的？,[等级9],
2026-05-13 21:04:10,101658941422,100%,我前妻,[等级37],[粉丝团 Lv9]
2026-05-13 21:04:12,77739939467,旅程...,海岛名人[捂脸],[等级14],[粉丝团 Lv7]
2026-05-13 21:04:18,75515184486,晚安i,张老黑[爱心],[等级22],[粉丝团 Lv5]
2026-05-13 21:04:19,106181078286,花開願重逢,四号之前匹过,[等级5],[粉丝团 Lv4]
2026-05-13 21:04:21,94020127979,江枫,带飞不[捂脸],[等级4],[粉丝团 Lv1]
2026-05-13 21:04:23,95110302423,用户9772819509223,盒子,[等级6],
2026-05-13 21:04:25,603006804442072,无双✨,昨天干啥去了啊,[等级16],
2026-05-13 21:04:26,176377349548877,李爱笑丿,困吗,[等级4],
2026-05-13 21:04:29,2410566453040446,朋友的酒,海岛女明星,[等级3],[粉丝团 Lv7]
2026-05-13 21:04:31,65972743228,快乐,太有名了，一听声音就知道,[等级11],[粉丝团 Lv11]
2026-05-13 21:04:37,3157445076854464,无界,那是猫局,[等级15],[粉丝团 Lv5]
2026-05-13 21:04:38,104860905881,蓝色加勒比,张君雅辨识度拉满[666][666][666][666][666][666],[等级2],
2026-05-13 21:04:41,71176955055,通讯录的好友,没以前打的热血澎湃的，现在不好看了[捂脸][捂脸][捂脸],[等级14],[粉丝团 Lv11]
2026-05-13 21:04:41,59348532870,贫僧法号：乱来,掉大分,[等级34],
2026-05-13 21:04:44,62556044936,钧澜未央,@无双✨ 老黑每周二休息,[等级17],[粉丝团 Lv8]
2026-05-13 21:05:00,65008922355,🌈浮夸.,海岛悍妇第一人，谁人不知张君雅，,[等级27],[粉丝团 Lv5]
2026-05-13 21:05:02,105052889019,Sky輝,我爱俊雅,[等级21],
2026-05-13 21:05:07,59287878139,云南大龙哥🍄,主播袜子怎么样？,[等级24],[粉丝团 Lv10]
2026-05-13 21:05:12,93060552271,小别兔别又别,昨晚局哥 活活的被毒死  哈哈哈,[等级11],[粉丝团 Lv9]
2026-05-13 21:05:19,64559614201,OLL,一号是哪个主播,[等级4],
2026-05-13 21:05:19,2409724869872109,邪恶李李 🫧,今天看到嘴宝带菜园子挖宝打游戏了[捂脸],[等级32],[粉丝团 Lv10]
2026-05-13 21:05:21,75446230005,@Lucky￥,盒子,[等级17],[粉丝团 Lv13]
2026-05-13 21:05:22,68359033340,满满,爆炸工被削弱了呢,[等级11],[粉丝团 Lv7]
2026-05-13 21:05:31,106233306293,祥子,袜子可以买，质量不错,[等级16],[粉丝团 Lv11]
2026-05-13 21:05:38,65263583138,四川靓号之家,人机名字：插兄弟两刀,[等级32],[粉丝团 Lv16]
2026-05-13 21:05:40,1827809526030755,💮张💓君✡️雅💋老黑,君雅来了,[等级11],[粉丝团 Lv8]
2026-05-13 21:05:40,1556555157474350,🌈🌈小宝888888,@邪恶李李 🫧 什么时候,[等级18],
2026-05-13 21:05:47,4410884105452616,初相恋&终相守,@邪恶李李 🫧 老黄瓜打几天了[呲牙],[等级34],[粉丝团 Lv11]
2026-05-13 21:05:49,93032203992,秀儿⁵¹⁰⁷⁴,@🌈🌈小宝888888 下午,[等级19],[粉丝团 Lv12]
2026-05-13 21:05:52,102334226470,始兴野狼户外（刘帮主）,老黑今晚上早班[赞][呲牙],[等级13],[粉丝团 Lv8]
2026-05-13 21:05:57,76709520672,轧尕有活,爆炸弓这是削弱了么，两箭,[等级26],[粉丝团 Lv15]
2026-05-13 21:06:00,84450401746,观山,哪卖袜子,[等级23],[粉丝团 Lv6]
2026-05-13 21:06:05,2985862850940638,钢铁人王师傅,[比心],[等级9],[粉丝团 Lv10]
2026-05-13 21:06:18,3853110172199261,吃点猫耳朵,削弱了中午修复的,[等级10],[粉丝团 Lv8]
2026-05-13 21:06:34,97315012559,CC坦然,升级了,[等级33],[粉丝团 Lv6]
2026-05-13 21:06:34,3817984312222104,冷笑柒,@观山 主页的商品橱窗,[等级17],[粉丝团 Lv13]
2026-05-13 21:06:36,76133959662,@等风起,我靠，大佬啊,[等级14],[粉丝团 Lv8]
2026-05-13 21:06:40,1822363298300364,冰糖葫卢先生,爆炸弓今天被削弱了,,
2026-05-13 21:06:47,59787234343,2/！,啥削弱了,[等级21],[粉丝团 Lv5]
2026-05-13 21:06:49,64253771979,莎拉酱,@Kun° 老板大气,[等级13],[粉丝团 Lv10]
2026-05-13 21:06:51,93060552271,小别兔别又别,老板大气  老板大气,[等级11],[粉丝团 Lv9]
2026-05-13 21:06:56,65759302943,第三人称,该削了，不然太变态了，直接无视掩体,[等级9],[粉丝团 Lv11]
2026-05-13 21:06:59,93368482794,灵魂爱人👄,怎么感觉掉帧啊,[等级11],[粉丝团 Lv6]
2026-05-13 21:07:07,1134350379006733,烟酒生,一来就看到张老黑偷人,[等级19],[粉丝团 Lv3]
2026-05-13 21:07:09,77416951506,ら孤痞,@轧尕有活 好像是削弱了，刷抖音看到有人发作品说削弱了,[等级36],[粉丝团 Lv17]
2026-05-13 21:07:11,97315012559,CC坦然,老板糊涂,[等级33],[粉丝团 Lv6]
2026-05-13 21:07:24,1822363298300364,冰糖葫卢先生,更新了就削弱了,,
2026-05-13 21:07:30,105195225535,彬,这是放的录像吧，,[等级6],[粉丝团 Lv8]
2026-05-13 21:07:35,4162095481363833,mrtang,今天削弱的,,
2026-05-13 21:07:40,93032203992,秀儿⁵¹⁰⁷⁴,@彬 ？？？？？？？？？？,[等级19],[粉丝团 Lv12]
2026-05-13 21:07:47,1798427627499870,TeFuir,兄弟们，我来了,[等级26],[粉丝团 Lv12]
2026-05-13 21:07:52,105195225535,彬,看过这集,[等级6],[粉丝团 Lv8]
2026-05-13 21:07:54,2984502456237699,汪汪小汪,爆炸工吗,[等级32],[粉丝团:张君雅 Lv15]
