time,user_id,user_name,action,follow_count,grade,fans_club
2026-05-14 12:20:23,4023840725536588,银河,关注了主播,1223021,[等级8],[粉丝团 Lv5]
2026-05-14 12:20:25,65746034021,___Martni丶迷茫,关注了主播,1223021,,
2026-05-14 12:20:37,59916685253,b,关注了主播,1223021,[等级14],
2026-05-14 12:21:08,588936598788368,无有,关注了主播,1223021,[等级13],
2026-05-14 12:21:47,99275785292,八月,关注了主播,1223024,[等级7],
2026-05-14 12:21:53,2904252768066172,。,关注了主播,1223024,[等级1],
2026-05-14 12:23:00,1547753492580397,.🍃,关注了主播,1223025,[等级21],
2026-05-14 12:23:14,2919905933142686,Silence*#,关注了主播,1223027,[等级16],
2026-05-14 12:23:40,7512997126348866617,收啤酒瓶子易拉罐~裤衩子穿的只剩松紧带,关注了主播,1223025,[等级15],[粉丝团 Lv1]
2026-05-14 12:23:52,99125054494,解释权归埼所有,关注了主播,1223027,[等级21],[粉丝团 Lv1]
2026-05-14 12:24:36,690965135761015,64592187265,关注了主播,1223025,[等级9],[粉丝团 Lv5]
2026-05-14 12:25:11,3830307738882248,এ᭄ོ浩仔ꦿ࿐,关注了主播,1223027,[等级10],
2026-05-14 12:26:54,3861957138479404,阿文♾️,关注了主播,1223026,[等级8],
2026-05-14 12:27:22,99234723226,sunshinter,关注了主播,1223029,,
2026-05-14 12:27:53,96934163800,展锋,关注了主播,1223031,[等级1],
2026-05-14 12:28:48,650550371446236,暴躁老婆卤_项安迪,关注了主播,1223032,,
2026-05-14 12:29:11,3514480552580852,子林。巴黎画染,关注了主播,1223033,[等级14],
2026-05-14 12:29:12,3514480552580852,子林。巴黎画染,关注了主播,1223034,[等级14],
2026-05-14 12:29:51,4336094833287656,任儿南,关注了主播,1223034,[等级15],
2026-05-14 12:31:07,2282240841101896,ᰔᩚ平安喜乐꧔ꦿꦿ࿐ᩚ,关注了主播,1223032,,
2026-05-14 12:31:36,7511172296514520123,8665244856658,关注了主播,1223029,[等级1],
2026-05-14 12:31:41,2590871499577527,汕头风口厂家,关注了主播,1223033,,
2026-05-14 12:31:57,2549084129855668,bill,关注了主播,1223033,[等级1],
2026-05-14 12:32:27,4375664687064990,乄夵,关注了主播,1223030,[等级13],[粉丝团 Lv8]
2026-05-14 12:32:39,619744407592604,加锣,关注了主播,1223030,[等级14],
2026-05-14 12:33:52,64235000135,迦魯魯,关注了主播,1223030,[等级21],
2026-05-14 12:34:54,1165917454861598,陪着媳妇去逛街,关注了主播,1223030,[等级8],
2026-05-14 12:35:06,62506674834,是小老虎啊🐯,关注了主播,1223031,[等级6],
2026-05-14 12:35:23,2933096588522344,us,关注了主播,1223030,[等级20],
2026-05-14 12:35:27,118350347777683,孙孙,关注了主播,1223034,[等级19],
2026-05-14 12:35:51,98875125769,李亚洲,关注了主播,1223036,[等级16],
2026-05-14 12:35:58,2465548330628028,用户3801855647957,关注了主播,1223038,,
2026-05-14 12:36:04,59339455109,丶丶,关注了主播,1223038,[等级16],
2026-05-14 12:36:33,58506525797,靠近一点,关注了主播,1223039,,
2026-05-14 12:37:00,3482889035453751,Aaaaa,关注了主播,1223039,[等级7],
2026-05-14 12:37:27,99128307445,溅溅又饿了❓,关注了主播,1223040,[等级2],
2026-05-14 12:37:29,462274059052814,猴弟,关注了主播,1223041,[等级20],
2026-05-14 12:37:48,7486464647298991164,🚬顶ᩚ峰ᩚღ相ζ见🍻,关注了主播,1223042,[等级14],
2026-05-14 12:38:18,2577731561466376,敷衍,关注了主播,1223040,,
2026-05-14 12:39:08,70938849906,祝,关注了主播,1223042,[等级2],
2026-05-14 12:39:10,105493547575,零开始🌈,关注了主播,1223042,[等级10],
2026-05-14 12:39:44,61072127524,Cherish。,关注了主播,1223044,[等级19],
2026-05-14 12:41:51,3932314376085607,🐈_,关注了主播,1223045,[等级10],
2026-05-14 12:42:13,97997209495,屠夫,关注了主播,1223048,[等级2],
2026-05-14 12:42:15,3342162519408877,晚安早安,关注了主播,1223049,[等级2],
