time,current,total_pv,total_user,online_anchor
2026-05-28 21:04:04,2719,5150,5150,2719
2026-05-28 21:04:04,2546,4770,4770,2546
2026-05-28 21:04:05,2546,4770,4770,2546
2026-05-28 21:04:05,2546,4770,4770,2546
2026-05-28 21:04:07,3177,6246,6246,3177
2026-05-28 21:04:08,2719,5150,5150,2719
2026-05-28 21:04:18,3177,6246,6246,3177
2026-05-28 21:04:20,3247,6374,6374,3247
2026-05-28 21:04:22,3008,5740,5740,3008
2026-05-28 21:04:24,3177,6246,6246,3177
2026-05-28 21:04:28,1996,3577,3577,1996
2026-05-28 21:04:39,3555,7338,7338,3555
2026-05-28 21:04:48,3405,6899,6899,3405
2026-05-28 21:04:50,3823,8335,8335,3823
2026-05-28 21:04:52,3627,7609,7609,3627
2026-05-28 21:04:54,3627,7609,7609,3627
2026-05-28 21:04:58,3627,7609,7609,3627
2026-05-28 21:05:06,3889,8493,8493,3889
2026-05-28 21:05:08,3889,8493,8493,3889
2026-05-28 21:05:18,3929,8648,8648,3929
2026-05-28 21:05:22,3889,8493,8493,3889
2026-05-28 21:05:24,4263,9726,9726,4263
2026-05-28 21:05:28,4070,9237,9237,4070
2026-05-28 21:05:36,4344,1.0万,1万+,4344
2026-05-28 21:05:38,4344,1.0万,1万+,4344
2026-05-28 21:05:40,3627,7609,7609,3627
2026-05-28 21:05:42,4465,1.1万,1万+,4465
2026-05-28 21:05:44,4344,1.0万,1万+,4344
2026-05-28 21:05:48,4344,1.0万,1万+,4344
2026-05-28 21:05:52,3929,8648,8648,3929
2026-05-28 21:05:54,4465,1.1万,1万+,4465
2026-05-28 21:06:00,4599,1.1万,1万+,4599
2026-05-28 21:06:04,4599,1.1万,1万+,4599
2026-05-28 21:06:14,4901,1.2万,1万+,4901
2026-05-28 21:06:16,4901,1.2万,1万+,4901
2026-05-28 21:06:24,4674,1.1万,1万+,4674
2026-05-28 21:06:26,4947,1.2万,1万+,4947
2026-05-28 21:06:28,4901,1.2万,1万+,4901
2026-05-28 21:06:34,5079,1.3万,1万+,5079
2026-05-28 21:06:42,5250,1.4万,1万+,5250
2026-05-28 21:06:44,4901,1.2万,1万+,4901
2026-05-28 21:06:52,5079,1.3万,1万+,5079
2026-05-28 21:06:54,5181,1.4万,1万+,5181
2026-05-28 21:06:56,5314,1.4万,1万+,5314
2026-05-28 21:07:02,5181,1.4万,1万+,5181
2026-05-28 21:07:04,5079,1.3万,1万+,5079
2026-05-28 21:07:12,5250,1.4万,1万+,5250
2026-05-28 21:07:20,5371,1.4万,1万+,5371
2026-05-28 21:07:24,5564,1.5万,1万+,5564
2026-05-28 21:07:30,5672,1.6万,1万+,5672
2026-05-28 21:07:36,5564,1.5万,1万+,5564
2026-05-28 21:07:40,5648,1.6万,1万+,5648
2026-05-28 21:07:50,5800,1.6万,1万+,5800
2026-05-28 21:07:54,5800,1.6万,1万+,5800
2026-05-28 21:07:56,5916,1.7万,1万+,5916
2026-05-28 21:07:58,5828,1.7万,1万+,5828
2026-05-28 21:08:00,5800,1.6万,1万+,5800
2026-05-28 21:08:10,5916,1.7万,1万+,5916
2026-05-28 21:08:12,5841,1.7万,1万+,5841
2026-05-28 21:08:16,5841,1.7万,1万+,5841
2026-05-28 21:08:20,5890,1.7万,1万+,5890
2026-05-28 21:08:22,5828,1.7万,1万+,5828
2026-05-28 21:08:24,5763,1.6万,1万+,5763
2026-05-28 21:08:30,5800,1.6万,1万+,5800
2026-05-28 21:08:40,6009,1.8万,1万+,6009
2026-05-28 21:08:50,6291,2.0万,1万+,6291
2026-05-28 21:08:52,6246,1.9万,1万+,6246
2026-05-28 21:08:54,6246,1.9万,1万+,6246
2026-05-28 21:08:58,6246,1.9万,1万+,6246
2026-05-28 21:09:01,6325,2.0万,1万+,6325
2026-05-28 21:09:06,6246,1.9万,1万+,6246
2026-05-28 21:09:16,6196,1.9万,1万+,6196
2026-05-28 21:09:18,6291,2.0万,1万+,6291
2026-05-28 21:09:26,6325,2.0万,1万+,6325
2026-05-28 21:09:30,6291,2.0万,1万+,6291
2026-05-28 21:09:32,6461,2.0万,2万+,6461
2026-05-28 21:09:42,6543,2.1万,2万+,6543
2026-05-28 21:09:48,6291,2.0万,1万+,6291
2026-05-28 21:09:56,6607,2.1万,2万+,6607
2026-05-28 21:09:58,6325,2.0万,1万+,6325
2026-05-28 21:10:02,6754,2.2万,2万+,6754
2026-05-28 21:10:08,6779,2.3万,2万+,6779
2026-05-28 21:10:13,6733,2.2万,2万+,6733
2026-05-28 21:10:18,6819,2.3万,2万+,6819
2026-05-28 21:10:22,6819,2.3万,2万+,6819
2026-05-28 21:10:24,6819,2.3万,2万+,6819
2026-05-28 21:10:26,6754,2.2万,2万+,6754
2026-05-28 21:10:28,6779,2.3万,2万+,6779
2026-05-28 21:10:30,6760,2.2万,2万+,6760
2026-05-28 21:10:36,6819,2.3万,2万+,6819
2026-05-28 21:10:46,6873,2.3万,2万+,6873
2026-05-28 21:10:56,6990,2.4万,2万+,6990
2026-05-28 21:10:58,6993,2.4万,2万+,6993
2026-05-28 21:11:04,7092,2.4万,2万+,7092
2026-05-28 21:11:12,7092,2.4万,2万+,7092
2026-05-28 21:11:22,7356,2.6万,2万+,7356
2026-05-28 21:11:24,7274,2.5万,2万+,7274
2026-05-28 21:11:26,7274,2.5万,2万+,7274
2026-05-28 21:11:28,7092,2.4万,2万+,7092
2026-05-28 21:11:36,7356,2.6万,2万+,7356
2026-05-28 21:11:46,7392,2.6万,2万+,7392
2026-05-28 21:11:48,7508,2.7万,2万+,7508
2026-05-28 21:11:54,7566,2.7万,2万+,7566
2026-05-28 21:11:56,7566,2.7万,2万+,7566
2026-05-28 21:12:02,7508,2.7万,2万+,7508
2026-05-28 21:12:04,7413,2.6万,2万+,7413
2026-05-28 21:12:12,7566,2.7万,2万+,7566
2026-05-28 21:12:18,7566,2.7万,2万+,7566
2026-05-28 21:12:24,7622,2.8万,2万+,7622
2026-05-28 21:12:26,7688,2.8万,2万+,7688
2026-05-28 21:12:32,7727,2.8万,2万+,7727
2026-05-28 21:12:43,7727,2.8万,2万+,7727
2026-05-28 21:12:44,7764,2.9万,2万+,7764
2026-05-28 21:12:52,7727,2.8万,2万+,7727
2026-05-28 21:12:58,7413,2.6万,2万+,7413
2026-05-28 21:13:00,7764,2.9万,2万+,7764
2026-05-28 21:13:02,7794,2.9万,2万+,7794
2026-05-28 21:13:04,7794,2.9万,2万+,7794
2026-05-28 21:13:14,7845,2.9万,2万+,7845
2026-05-28 21:13:16,7972,3.0万,2万+,7972
2026-05-28 21:13:24,7923,2.9万,2万+,7923
2026-05-28 21:13:26,8097,3.1万,3万+,8097
2026-05-28 21:13:28,8097,3.1万,3万+,8097
2026-05-28 21:13:30,7742,2.8万,2万+,7742
2026-05-28 21:13:32,7934,3.0万,2万+,7934
2026-05-28 21:13:42,8204,3.1万,3万+,8204
2026-05-28 21:13:53,8040,3.0万,3万+,8040
2026-05-28 21:13:54,8231,3.1万,3万+,8231
2026-05-28 21:13:58,8204,3.1万,3万+,8204
2026-05-28 21:14:00,8231,3.1万,3万+,8231
2026-05-28 21:14:06,8334,3.2万,3万+,8334
2026-05-28 21:14:16,8371,3.2万,3万+,8371
2026-05-28 21:14:24,8204,3.1万,3万+,8204
2026-05-28 21:14:30,8371,3.2万,3万+,8371
2026-05-28 21:14:32,8514,3.3万,3万+,8514
2026-05-28 21:14:36,8698,3.3万,3万+,8698
2026-05-28 21:14:44,8698,3.3万,3万+,8698
2026-05-28 21:14:46,8886,3.4万,3万+,8886
2026-05-28 21:14:48,8514,3.3万,3万+,8514
2026-05-28 21:14:50,8886,3.4万,3万+,8886
2026-05-28 21:14:52,9024,3.4万,3万+,9024
2026-05-28 21:14:54,8514,3.3万,3万+,8514
2026-05-28 21:15:02,9179,3.4万,3万+,9179
2026-05-28 21:15:04,8886,3.4万,3万+,8886
2026-05-28 21:15:06,8698,3.3万,3万+,8698
2026-05-28 21:15:14,9345,3.5万,3万+,9345
2026-05-28 21:15:16,9422,3.5万,3万+,9422
2026-05-28 21:15:18,8886,3.4万,3万+,8886
2026-05-28 21:15:20,8371,3.2万,3万+,8371
2026-05-28 21:15:22,9736,3.5万,3万+,9736
2026-05-28 21:15:24,9024,3.4万,3万+,9024
2026-05-28 21:15:28,9422,3.5万,3万+,9422
2026-05-28 21:15:30,9345,3.5万,3万+,9345
2026-05-28 21:15:34,10069,3.6万,3万+,1.0万
